src,vmag,k,peak,n_at_peak,badfrac
28865,20.722827233919645,0,6.013151,1,0.0
9418,22.331380424484934,0,1.1129435,1,0.0
28901,22.02697800728736,0,1.7272303,1,0.0
5302,16.51455469613421,0,285.4939,1,0.0
6570,16.394752473927923,0,171.33237,1,0.0
9419,20.5849391205435,0,6.1814017,1,0.0
9000,21.714003771723274,0,2.3745904,1,0.0
29067,21.137190402514754,0,3.4652877,1,0.0
29068,21.433908005921428,0,2.6924145,1,0.0
15933,17.70324861955609,1,109.127846,1,0.0
29044,20.850033068578036,0,5.6678677,1,0.0
9458,20.420739265997415,0,7.2384024,1,0.0
5326,18.938674162792516,0,26.597038,1,0.0
6492,20.86130456454469,0,4.860684,1,0.0
9500,19.70801209424718,0,17.61033,1,0.0
5318,18.914306441060987,2,25.033756,2,0.0
29263,21.450040666041524,0,2.8827512,1,0.0
9506,20.70939580307901,0,5.5465946,1,0.0
3733,19.169372645685442,4,23.135803,1,0.0
29196,20.036698036945047,0,8.7106,1,0.0
9490,19.255905908632013,0,20.77252,1,0.0
9511,21.72401325113743,0,2.1856222,2,0.0
3628,17.378802768642586,0,90.305305,1,0.0
9521,19.087801041897794,0,30.164145,1,0.0
29407,21.136412557543544,0,3.8374119,1,0.0
27943,19.857324547250535,1,13.701177,1,0.0
16118,22.381371466935963,0,1.3495458,1,0.0
29377,22.47759199855562,0,1.2070018,1,0.0
2172,18.904240564117387,5,32.935135,1,0.0
29625,21.712887820437246,0,2.6571543,1,0.0
29701,20.851577776003687,0,4.5863414,1,0.0
15407,16.79326764350034,0,1.4764531,1,0.6172839506172839
29711,21.100442287024933,0,4.256046,1,0.0
5357,21.141136465282244,0,3.6524866,1,0.0
5374,16.836225916822357,0,212.33614,1,0.0
15432,19.686886754126892,0,13.011927,1,0.0
6620,21.252884209222827,0,3.681341,1,0.0
29842,20.508666714460045,0,6.623057,1,0.0
29840,22.33103047586741,0,1.2647871,1,0.0
5388,22.282928110502247,0,1.1188141,1,0.0
29882,22.031729804373462,0,1.3541733,1,0.0
28415,22.39977517370726,0,1.2401015,1,0.0
5383,19.897919462076064,0,10.567987,1,0.0
2212,18.21045842137907,0,58.659187,1,0.0
6649,17.125916492075117,0,123.89414,1,0.0
17121,21.516466466056347,0,2.3968678,1,0.0
28580,20.445100714616768,0,8.118996,1,0.0
17044,18.706243680389704,0,37.293953,1,0.0
